actual,proposed
-6.050564289093018,-6.104429721832275
-6.050564289093018,-6.089056968688965
-6.033381462097168,-6.078068256378174
-5.932002067565918,-6.065312385559082
-5.926339149475098,-6.027328968048096
-5.9150071144104,-5.998534679412842
-5.926339149475098,-5.974710941314697
-5.920673847198486,-5.960904121398926
-5.919516086578369,-5.949419021606445
-5.902513027191162,-5.94088077545166
-5.9138503074646,-5.929926872253418
-5.919516086578369,-5.92533540725708
-5.908182621002197,-5.923672676086426
-5.82130765914917,-5.919248580932617
-5.82130765914917,-5.891320705413818
-5.815697193145752,-5.871345043182373
-5.815697193145752,-5.85546350479126
-5.815697193145752,-5.84411096572876
-5.810084819793701,-5.835997104644775
-5.723479747772217,-5.828597545623779
